title,timestamp,search_count,date_collected
Air conditioner,2019-02-10 00:00:00,35,2024-02-10 14:50:20.516750
Air conditioner,2019-02-17 00:00:00,39,2024-02-10 14:50:20.516752
Air conditioner,2019-02-24 00:00:00,41,2024-02-10 14:50:20.516752
Air conditioner,2019-03-03 00:00:00,38,2024-02-10 14:50:20.516753
Air conditioner,2019-03-10 00:00:00,36,2024-02-10 14:50:20.516754
Air conditioner,2019-03-17 00:00:00,41,2024-02-10 14:50:20.516754
Air conditioner,2019-03-24 00:00:00,52,2024-02-10 14:50:20.516755
Air conditioner,2019-03-31 00:00:00,35,2024-02-10 14:50:20.516755
Air conditioner,2019-04-07 00:00:00,47,2024-02-10 14:50:20.516756
Air conditioner,2019-04-14 00:00:00,51,2024-02-10 14:50:20.516757
Air conditioner,2019-04-21 00:00:00,44,2024-02-10 14:50:20.516757
Air conditioner,2019-04-28 00:00:00,38,2024-02-10 14:50:20.516758
Air conditioner,2019-05-05 00:00:00,51,2024-02-10 14:50:20.516759
Air conditioner,2019-05-12 00:00:00,46,2024-02-10 14:50:20.516759
Air conditioner,2019-05-19 00:00:00,49,2024-02-10 14:50:20.516760
Air conditioner,2019-05-26 00:00:00,49,2024-02-10 14:50:20.516760
Air conditioner,2019-06-02 00:00:00,39,2024-02-10 14:50:20.516761
Air conditioner,2019-06-09 00:00:00,43,2024-02-10 14:50:20.516762
Air conditioner,2019-06-16 00:00:00,38,2024-02-10 14:50:20.516762
Air conditioner,2019-06-23 00:00:00,32,2024-02-10 14:50:20.516763
Air conditioner,2019-06-30 00:00:00,45,2024-02-10 14:50:20.516764
Air conditioner,2019-07-07 00:00:00,33,2024-02-10 14:50:20.516764
Air conditioner,2019-07-14 00:00:00,37,2024-02-10 14:50:20.516765
Air conditioner,2019-07-21 00:00:00,48,2024-02-10 14:50:20.516765
Air conditioner,2019-07-28 00:00:00,55,2024-02-10 14:50:20.516766
Air conditioner,2019-08-04 00:00:00,31,2024-02-10 14:50:20.516767
Air conditioner,2019-08-11 00:00:00,55,2024-02-10 14:50:20.516767
Air conditioner,2019-08-18 00:00:00,46,2024-02-10 14:50:20.516768
Air conditioner,2019-08-25 00:00:00,31,2024-02-10 14:50:20.516768
Air conditioner,2019-09-01 00:00:00,43,2024-02-10 14:50:20.516769
Air conditioner,2019-09-08 00:00:00,39,2024-02-10 14:50:20.516770
Air conditioner,2019-09-15 00:00:00,34,2024-02-10 14:50:20.516770
Air conditioner,2019-09-22 00:00:00,43,2024-02-10 14:50:20.516771
Air conditioner,2019-09-29 00:00:00,28,2024-02-10 14:50:20.516771
Air conditioner,2019-10-06 00:00:00,29,2024-02-10 14:50:20.516772
Air conditioner,2019-10-13 00:00:00,37,2024-02-10 14:50:20.516773
Air conditioner,2019-10-20 00:00:00,38,2024-02-10 14:50:20.516773
Air conditioner,2019-10-27 00:00:00,32,2024-02-10 14:50:20.516774
Air conditioner,2019-11-03 00:00:00,34,2024-02-10 14:50:20.516774
Air conditioner,2019-11-10 00:00:00,32,2024-02-10 14:50:20.516775
Air conditioner,2019-11-17 00:00:00,39,2024-02-10 14:50:20.516776
