ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rank,rank_lower,rank_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-02-04,60.82589181195285,36.71151161224969,60.59833760708135,60.82589181195285,60.82589181195285,-12.218257763062617,-12.218257763062617,-12.218257763062617,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-6.999713593974832,-6.999713593974832,-6.999713593974832,0.0,0.0,0.0,48.60763404889023
2024-02-11,60.893654467319216,39.295925984151175,65.05943546317214,60.893654467319216,60.893654467319216,-8.399650890697211,-8.399650890697211,-8.399650890697211,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-3.1811067216094266,-3.1811067216094266,-3.1811067216094266,0.0,0.0,0.0,52.494003576622006
2024-02-18,60.96141712268557,43.44857609057258,66.45724763973824,60.960782625069356,60.96222411430149,-6.127454584402265,-6.127454584402265,-6.127454584402265,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-0.9089104153144814,-0.9089104153144814,-0.9089104153144814,0.0,0.0,0.0,54.8339625382833
2024-02-25,61.02917977805193,42.33996668234254,65.69258205973037,61.027489269086864,61.03146497735053,-6.06954533180977,-6.06954533180977,-6.06954533180977,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-5.218544169087784,-0.8510011627219852,-0.8510011627219852,-0.8510011627219852,0.0,0.0,0.0,54.95963444624216
2024-03-03,61.0969424334183,47.957010241204756,71.44061528585078,61.09363433399085,61.10061348819126,-1.9025874778227598,-1.9025874778227598,-1.9025874778227598,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,-2.158251025011499,-2.158251025011499,-2.158251025011499,0.0,0.0,0.0,59.194354955595536
2024-03-10,61.164705088784665,48.119792468874195,70.89006746390605,61.159463399072884,61.17012050092874,-2.578108336835169,-2.578108336835169,-2.578108336835169,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,-2.833771884023908,-2.833771884023908,-2.833771884023908,0.0,0.0,0.0,58.58659675194949
2024-03-17,61.23246774415103,48.462873397513114,73.02390418703416,61.22570065155198,61.240369993316996,-0.8834774633478522,-0.8834774633478522,-0.8834774633478522,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,-1.1391410105365911,-1.1391410105365911,-1.1391410105365911,0.0,0.0,0.0,60.34899028080318
2024-03-24,61.300230399517396,52.63580603130177,75.97963251831523,61.290832780438016,61.309835428143245,2.9439550274259405,2.9439550274259405,2.9439550274259405,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,2.6882914802372015,2.6882914802372015,2.6882914802372015,0.0,0.0,0.0,64.24418542694333
2024-03-31,61.367993054883755,55.25224850507275,80.49590968467064,61.35583377271664,61.380128368909354,6.508720823181265,6.508720823181265,6.508720823181265,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,0.25566354718873907,6.253057275992526,6.253057275992526,6.253057275992526,0.0,0.0,0.0,67.87671387806502
2024-04-07,61.43575571025012,58.651270350181804,81.53338652869614,61.42035075963311,61.45041359151339,8.99082930025963,8.99082930025963,8.99082930025963,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,7.171106405563312,7.171106405563312,7.171106405563312,0.0,0.0,0.0,70.42658501050975
2024-04-14,61.503518365616486,56.49886114719792,81.32736960586558,61.48532556448476,61.52102348286076,7.480629316433069,7.480629316433069,7.480629316433069,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,5.660906421736751,5.660906421736751,5.660906421736751,0.0,0.0,0.0,68.98414768204955
2024-04-21,61.57128102098284,55.233770528390075,79.04256285911929,61.549613235078205,61.59244863965448,6.337670455130391,6.337670455130391,6.337670455130391,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,4.517947560434074,4.517947560434074,4.517947560434074,0.0,0.0,0.0,67.90895147611323
2024-04-28,61.6390436763492,58.36632563702354,81.65132552463074,61.61445743998298,61.66347163528114,7.861908343373996,7.861908343373996,7.861908343373996,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,1.8197228946963178,6.042185448677677,6.042185448677677,6.042185448677677,0.0,0.0,0.0,69.5009520197232
2024-05-05,61.70680633171557,65.41113903732145,89.54706202418836,61.679456231518984,61.73443442475264,15.216203341002602,15.216203341002602,15.216203341002602,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,9.225655519619409,9.225655519619409,9.225655519619409,0.0,0.0,0.0,76.92300967271817
2024-05-12,61.774568987081935,65.89564796419185,90.54902738199746,61.7439660702907,61.8059106325289,16.667720393912838,16.667720393912838,16.667720393912838,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,5.990547821383193,10.677172572529644,10.677172572529644,10.677172572529644,0.0,0.0,0.0,78.44228938099477
