Date,Forecasted Price,Lowest Price,Highest Price,Percent Change to Lowest,Percent Change to Highest
2022-01-01,124.54210082727053,107.15862261643429,141.92557903810678,-13.95791310357425,13.95791310357425
2022-02-01,90.98477830631893,70.36113717568423,111.60841943695362,-22.667133464018534,22.667133464018534
2022-03-01,108.53426932004443,86.66766662358123,130.40087201650763,-20.147187458353134,20.147187458353134
2022-04-01,90.56285581285945,68.14776751770968,112.97794410800923,-24.75086291610401,24.75086291610401
2022-05-01,90.14926210399977,67.46327935677333,112.83524485122622,-25.164912299620372,25.164912299620372
2022-06-01,103.11901219223341,80.28292805401838,125.95509633044844,-22.145367428117165,22.145367428117165
2022-07-01,109.30384560279234,86.37413795142075,132.23355325416392,-20.97795143887034,20.97795143887034
2022-08-01,106.05877657216325,83.0635706443366,129.05398249998993,-21.681568155918278,21.68156815591829
2022-09-01,102.33998316775443,79.2939742430386,125.38599209247025,-22.519066557729534,22.519066557729534
2022-10-01,107.09238484392357,84.00340715678547,130.18136253106167,-21.559868818672747,21.559868818672747
2022-11-01,120.37914362877653,97.25121269881448,143.50707455873857,-19.212573069371242,19.21257306937123
2022-12-01,134.45613381688855,111.29089779386535,157.62136983991175,-17.228842868984454,17.228842868984454
2023-01-01,121.88591212644381,98.1449574865918,145.62686676629582,-19.478013681534634,19.478013681534634
2023-02-01,89.53223872269734,65.49803050257017,113.56644694282451,-26.844194407521556,26.844194407521556
2023-03-01,107.62187552534769,83.41732272679467,131.82642832390073,-22.49036516080064,22.49036516080065
2023-04-01,92.51807965215606,68.20226944591433,116.8338898583978,-26.28222537439478,26.28222537439478
2023-05-01,94.30400831353808,69.90720613376789,118.70081049330827,-25.870376685004427,25.870376685004427
2023-06-01,105.35451643085878,80.8930386209385,129.81599424077905,-23.218252656471225,23.21825265647121
2023-07-01,109.4597281215541,84.9426931153752,133.97676312773297,-22.398223919351352,22.398223919351338
2023-08-01,106.84904425260935,82.2816330069441,131.4164554982746,-22.99263546764508,22.99263546764508
2023-09-01,103.93179202848975,79.3169012146631,128.54668284231641,-23.68369709922756,23.683697099227572
2023-10-01,109.36469771014728,84.7037928365962,134.02560258369837,-22.549236993193787,22.549236993193787
2023-11-01,123.80708339426775,99.10061538601263,148.51355140252286,-19.95561750661434,19.95561750661434
2023-12-01,136.78620564451901,112.03376316368767,161.53864812535036,-18.095715400687535,18.095715400687535
2024-01-01,123.60935442991844,97.6065861617611,149.61212269807578,-21.03624631653575,21.03624631653575
2024-02-01,91.03751403686357,64.43474661067782,117.64028146304932,-29.221763915272952,29.221763915272952
2024-03-01,109.02992304920775,82.09905957989682,135.9607865185187,-24.700433345400423,24.700433345400423
2024-04-01,93.39784844221253,66.26458708344035,120.53110980098472,-29.05127025014948,29.05127025014948
2024-05-01,94.77832816688463,67.50506760939889,122.05158872437038,-28.77584051647681,28.77584051647681
2024-06-01,106.18403207356005,78.8036253416203,133.56443880549978,-25.785804322227747,25.785804322227733
2024-07-01,110.67384555125665,83.20437540999754,138.14331569251576,-24.82020029613691,24.82020029613691
2024-08-01,107.94616225300925,80.39785711971591,135.4944673863026,-25.520411803732625,25.520411803732635
2024-09-01,104.88094129984994,77.25960450054339,132.50227809915648,-26.335897120086265,26.335897120086265
2024-10-01,110.18819090464012,82.49696288453325,137.879418924747,-25.13084913434292,25.13084913434292
2024-11-01,124.41710160283033,96.65735391281616,152.1768492928445,-22.311842449625644,22.311842449625658
2024-12-01,137.5991047611709,109.77083405984618,165.42737546249563,-20.224165520281485,20.224165520281485
2025-01-01,124.53435752570226,95.58381112036668,153.48490393103785,-23.247035581614956,23.247035581614956
2025-02-01,92.00283844588549,62.48088957109354,121.52478732067743,-32.08808486072552,32.08808486072552
2025-03-01,110.0132187409177,80.15861660466341,139.86782087717197,-27.137286298805773,27.137286298805762
2025-04-01,94.47875745043908,64.40600204401356,124.55151285686459,-31.830176663998618,31.830176663998618
2025-05-01,95.9341538302653,65.7019436710526,126.166363989478,-31.51350061699824,31.51350061699824
2025-06-01,107.27423024278299,76.91429492617773,137.63416555938824,-28.301238095947802,28.301238095947788
2025-07-01,111.69298233750484,81.22314388182575,142.16282079318393,-27.27999362001795,27.279993620017933
2025-08-01,108.98691740365666,78.4174101827869,139.55642462452641,-28.04878599111944,28.04878599111943
2025-09-01,105.9490367486257,75.285732228176,136.6123412690754,-28.941560453448332,28.94156045344832
2025-10-01,111.27950384398869,80.52560158733516,142.03340610064222,-27.636627765495607,27.636627765495607
2025-11-01,125.54785812036862,94.70474854714165,156.3909676935956,-24.566814627499443,24.566814627499458
2025-12-01,138.69237535378255,107.76000587947638,169.62474482808872,-22.302862284536214,22.302862284536214
